symbol,date,open,high,close,low,volume (10K shares)
AAPL.O,2025-02-28,236.3714,241.4989,241.2495,229.6379,"5,683.3360"
AAPL.O,2025-03-03,241.1996,243.4313,237.4488,235.5355,"4,718.3985"
AAPL.O,2025-03-04,237.1246,239.4838,235.3539,234.1070,"5,379.8062"
AAPL.O,2025-03-05,234.8452,235.9724,235.1644,228.6703,"4,722.7643"
AAPL.O,2025-03-06,233.8626,237.2792,234.7554,232.5888,"4,517.0419"
AAPL.O,2025-03-07,234.5309,240.7806,238.4862,234.1868,"4,627.3565"
AAPL.O,2025-03-10,234.9649,235.5833,226.9245,223.6725,"7,207.1197"
AAPL.O,2025-03-11,223.2585,225.2884,220.3008,216.9190,"7,613.7410"
AAPL.O,2025-03-12,219.6025,221.2085,216.4502,214.3852,"6,254.7467"
AAPL.O,2025-03-13,215.4227,216.3099,209.1680,207.9111,"6,136.8330"
AAPL.O,2025-03-14,210.7342,213.4276,212.9687,209.0683,"6,010.7582"
AAPL.O,2025-03-17,212.7891,214.6945,213.4775,209.4573,"4,807.3426"
AAPL.O,2025-03-18,213.6371,214.6247,212.1707,210.9736,"4,243.2426"
AAPL.O,2025-03-19,213.6969,218.2258,214.7144,213.2281,"5,438.5391"
AAPL.O,2025-03-20,213.4675,216.9588,213.5772,211.7018,"4,886.2947"
AAPL.O,2025-03-21,211.0434,218.3056,217.7370,210.7641,"9,412.7768"
AAPL.O,2025-03-24,220.4604,220.9392,220.1910,218.0463,"4,429.9483"
AAPL.O,2025-03-25,220.2309,223.5528,223.2037,219.5426,"3,449.3583"
AAPL.O,2025-03-26,222.9642,224.4706,220.9891,219.9317,"3,453.2656"
AAPL.O,2025-03-27,220.8494,224.4406,223.3034,220.0215,"3,709.4774"
AAPL.O,2025-03-28,221.1287,223.2635,217.3679,217.1485,"3,981.8617"
AAPL.O,2025-03-31,216.4751,225.0691,221.5876,215.7020,"6,529.9321"
AAPL.O,2025-04-01,219.2683,223.1338,222.6450,218.3655,"3,641.2740"
AAPL.O,2025-04-02,220.7746,224.6401,223.3433,220.4803,"3,590.5904"
AAPL.O,2025-04-03,205.0381,206.9834,202.6939,200.7586,"10,341.9006"
AAPL.O,2025-04-04,193.4166,199.3919,187.9200,186.8826,"12,591.0913"
AAPL.O,2025-04-07,176.7673,193.6759,181.0169,174.1936,"16,046.6286"
AAPL.O,2025-04-08,186.2441,189.8702,171.9990,168.7969,"12,085.9491"
AAPL.O,2025-04-09,171.5301,200.1202,198.3645,171.4703,"18,439.5885"
AAPL.O,2025-04-10,188.6033,194.3043,189.9550,182.5532,"12,187.9981"
AAPL.O,2025-04-11,185.6456,199.0528,197.6662,185.6057,"8,743.5915"
AAPL.O,2025-04-14,210.9237,212.4200,202.0255,200.6709,"10,135.2911"
AAPL.O,2025-04-15,201.3621,203.0131,201.6464,199.3121,"5,134.3872"
AAPL.O,2025-04-16,197.8756,200.2099,193.7956,191.9003,"5,973.2423"
AAPL.O,2025-04-17,196.7185,198.3480,196.4990,193.9453,"5,216.4675"
AAPL.O,2025-04-21,192.7931,193.3268,192.6883,189.3477,"4,674.2537"
AAPL.O,2025-04-22,195.6411,201.0978,199.2523,195.4915,"5,297.6371"
AAPL.O,2025-04-23,205.4970,207.4921,204.1004,202.3038,"5,292.9165"
AAPL.O,2025-04-24,204.3897,208.3200,207.8612,202.4445,"4,731.0989"
AAPL.O,2025-04-25,205.8611,209.2378,208.7690,205.6965,"3,822.2258"
AAPL.O,2025-04-28,209.4872,210.9836,209.6269,206.9534,"3,874.3074"
AAPL.O,2025-04-29,208.1834,211.7218,210.6943,207.8612,"3,682.7633"
AAPL.O,2025-04-30,208.7889,213.0585,211.9811,206.1659,"5,228.6454"
AAPL.O,2025-05-01,208.5695,214.0361,212.7991,208.3899,"5,736.5675"
AAPL.O,2025-05-02,205.5868,206.4846,204.8486,201.6664,"10,101.0621"
AAPL.O,2025-05-05,202.6041,203.6016,198.4044,197.7260,"6,901.8452"
AAPL.O,2025-05-06,197.7260,200.1601,198.0253,196.5389,"5,121.6482"
AAPL.O,2025-05-07,198.6837,198.9530,195.7708,192.7781,"6,861.6943"
AAPL.O,2025-05-08,197.2372,199.5615,197.0078,194.2042,"5,047.8872"
